

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md","0"
"ALB|Albania",8,"Industrial water withdrawal as % of total water withdrawal",4256,2012,14.2972766245,"E","","0"
"ALB|Albania",8,"Industrial water withdrawal as % of total water withdrawal",4256,2017,10.0732600733,"E","","0"
"ALB|Albania",8,"Industrial water withdrawal as % of total water withdrawal",4256,2018,10.2296450939,"E","","0"
"ALB|Albania",8,"Municipal water withdrawal as % of total withdrawal",4255,1992,16.0600223056,"E","","0"
"ALB|Albania",8,"Municipal water withdrawal as % of total withdrawal",4255,1997,29.0312207262,"E","","0"
"ALB|Albania",8,"Municipal water withdrawal as % of total withdrawal",4255,2002,33.3565828082,"E","","0"
"ALB|Albania",8,"Municipal water withdrawal as % of total withdrawal",4255,2007,40.4763812974,"E","","0"
"ALB|Albania",8,"Municipal water withdrawal as % of total withdrawal",4255,2012,32.4092356405,"E","","0"
"ALB|Albania",8,"Municipal water withdrawal as % of total withdrawal",4255,2017,25.9157509158,"E","","0"
"ALB|Albania",8,"Municipal water withdrawal as % of total withdrawal",4255,2018,21.6075156576,"E","","0"
"ALB|Albania",8,"Total water withdrawal per capita",4257,1992,364.6338780844,"E","","0"
"ALB|Albania",8,"Total water withdrawal per capita",4257,1997,461.4756277276,"E","","0"
"ALB|Albania",8,"Total water withdrawal per capita",4257,2002,531.9963265153,"E","","0"
"ALB|Albania",8,"Total water withdrawal per capita",4257,2007,411.2527430803,"E","","0"
"ALB|Albania",8,"Total water withdrawal per capita",4257,2012,385.8280578265,"E","","0"
"ALB|Albania",8,"Total water withdrawal per capita",4257,2017,378.6185899647,"E","","0"
"ALB|Albania",8,"Total water withdrawal per capita",4257,2018,332.3227207448,"E","","0"
"ALB|Albania",8,"Total freshwater withdrawal",4263,1992,1.18356,"E","","0"
"ALB|Albania",8,"Total freshwater withdrawal",4263,1997,1.43046,"E","","0"
"ALB|Albania",8,"Total freshwater withdrawal",4263,2002,1.66312,"E","","0"
"ALB|Albania",8,"Total freshwater withdrawal",4263,2007,1.24774,"E","","0"
"ALB|Albania",8,"Total freshwater withdrawal",4263,2012,1.12434,"E","","0"
"ALB|Albania",8,"Total freshwater withdrawal",4263,2017,1.091,"E","","0"
"ALB|Albania",8,"Total freshwater withdrawal",4263,2018,0.958,"","","7017"
"DZA|Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,1982,74.0,"E","","0"
"DZA|Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,1987,67.5384615385,"E","","0"
"DZA|Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,1992,60.1650579856,"E","","0"
"DZA|Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,1997,60.5150825027,"E","","0"
"DZA|Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,2002,60.015,"E","","0"
"DZA|Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,2007,59.5575545212,"E","","0"
"DZA|Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,2012,59.2284866469,"E","","0"
"DZA|Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,2017,63.7640986427,"E","","0"
"DZA|Algeria",12,"Agricultural water withdrawal as % of total water withdrawal",4254,2018,63.7640986427,"I","","0"
"DZA|Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,1982,4.0,"E","","0"
"DZA|Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,1987,9.1282051282,"E","","0"
"DZA|Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,1992,13.6151696515,"E","","0"
"DZA|Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,1997,10.4428530546,"E","","0"
"DZA|Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,2002,8.01625,"E","","0"
"DZA|Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,2007,6.2188170075,"E","","0"
"DZA|Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,2012,4.9258160237,"E","","0"
"DZA|Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,2017,1.8256547505,"E","","0"
"DZA|Algeria",12,"Industrial water withdrawal as % of total water withdrawal",4256,2018,1.8256547505,"I","","0"
"DZA|Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,1982,22.0,"E","","0"
"DZA|Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,1987,23.3333333333,"E","","0"
"DZA|Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,1992,26.219772363,"E","","0"
"DZA|Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,1997,29.0420644427,"E","","0"
"DZA|Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,2002,31.96875,"E","","0"
"DZA|Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,2007,34.2236284713,"E","","0"
"DZA|Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,2012,35.8456973294,"E","","0"
"DZA|Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,2017,34.4102466068,"E","","0"
"DZA|Algeria",12,"Municipal water withdrawal as % of total withdrawal",4255,2018,34.4102466068,"I","","0"
"DZA|Algeria",12,"Total water withdrawal per capita",4257,1982,156.4570152441,"E","","0"
"DZA|Algeria",12,"Total water withdrawal per capita",4257,1987,164.0427951479,"E","","0"
"DZA|Algeria",12,"Total water withdrawal per capita",4257,1992,175.0022617686,"E","","0"
"DZA|Algeria",12,"Total water withdrawal per capita",4257,1997,178.3635605688,"E","","0"
"DZA|Algeria",12,"Total water withdrawal per capita",4257,2002,190.2553860546,"E","","0"
"DZA|Algeria",12,"Total water withdrawal per capita",4257,2007,211.9825845352,"E","","0"
"DZA|Algeria",12,"Total water withdrawal per capita",4257,2012,225.364424975,"E","","0"
"DZA|Algeria",12,"Total water withdrawal per capita",4257,2017,252.7713215159,"E","","0"
"DZA|Algeria",12,"Total water withdrawal per capita",4257,2018,247.747914153,"E","","0"
"DZA|Algeria",12,"Total freshwater withdrawal",4263,1982,3.2,"I","","0"
"DZA|Algeria",12,"Total freshwater withdrawal",4263,1987,3.9,"E","","0"
"DZA|Algeria",12,"Total freshwater withdrawal",4263,1992,4.6754181818,"E","","0"
